"","year_start","month_start","year_end","month_end","permno","n_obs","R2_long","R2_short","tau_pi_R"
"295",1961,12,1980,12,10364,20,0.117715122398006,0.0357666705150222,0.084988196712464
"296",1962,12,1981,12,10364,20,0.158176025706114,0.0886705446977299,0.0762682261656189
"297",1963,12,1982,12,10364,20,0.121975987617441,0.00389240694595349,0.118545006076548
"298",1964,12,1983,12,10364,20,0.12665447987683,0.00549003710141016,0.121833312179473
"299",1965,12,1984,12,10364,20,0.110469367036124,0.0014000122338135,0.109222267312753
"300",1966,12,1985,12,10364,20,0.0761159636312707,0.00271240634430326,0.0736031990710889
"301",1967,12,1986,12,10364,20,0.0492167525687586,0.00099743294787842,0.0482674631789654
"302",1968,12,1987,12,10364,20,0.0443734255192985,0.00000634616314144284,0.0443673609186676
"303",1969,12,1988,12,10364,20,0.0410775386036435,0.000166649152887327,0.0409177083521911
"304",1970,12,1989,12,10364,20,0.040597756398085,0.000100088226424106,0.0405017219171747
"305",1971,12,1990,12,10364,20,0.0347929375966006,0.00000433171505380798,0.0347887565765274
"306",1972,12,1991,12,10364,20,0.047603075527163,0.00076287402210207,0.0468759619587003
"307",1973,12,1992,12,10364,20,0.0527256039631805,0.000697034499157599,0.0520648604679629
"308",1974,12,1993,12,10364,20,0.0512781064980889,0.000415167630622498,0.0508840642838716
"309",1975,12,1994,12,10364,20,0.0517865689518301,0.000300917417073279,0.0515011491275285
"310",1976,12,1995,12,10364,20,0.0390958728165472,0.000483025717104055,0.0386315071108682
"311",1977,12,1996,12,10364,20,0.0531053420133875,0.00127524150100818,0.0518962808034078
"312",1978,12,1997,12,10364,20,0.0846826901031184,0.000395825024881363,0.0843202411397842
"313",1987,6,2006,6,10371,20,0.269555745234563,0.246023618818949,0.0312106943970207
"314",1988,6,2007,6,10371,20,0.422262054070363,0.421605394168247,0.00113531470642161
"315",1989,6,2008,6,10371,20,0.523107531238136,0.52309566716623,0.0000248772575321844
"316",1960,12,1979,12,10372,20,0.113666023470843,0.0695673418947686,0.0473958874851607
